CAAB ID	Scientific Name	Full authority	Common Name	Family	Genus	Specific epithet
37003001	Geotria australis	Gray, 1851	Pouch Lamprey	Petromyzontidae	Geotria	australis
37003002	Mordacia mordax	(Richardson, 1846)	Shorthead Lamprey	Petromyzontidae	Mordacia	mordax
37004001	Eptatretus longipinnis	Strahan, 1975	Longfin Hagfish	Myxinidae	Eptatretus	longipinnis
37004002	Eptatretus cirrhatus	(Forster, 1801)	Broadgilled Hagfish	Myxinidae	Eptatretus	cirrhatus
37004004	Eptatretus strahani	McMillan & Wisner, 1984	[a hagfish]	Myxinidae	Eptatretus	strahani
37004005	Eptatretus alastairi	Mincarone & Fernholm, 2010	[a hagfish]	Myxinidae	Eptatretus	alastairi
37004006	Eptatretus gomoni	Mincarone & Fernholm, 2010	Gomon's Hagfish	Myxinidae	Eptatretus	gomoni
37005001	Heptranchias perlo	(Bonnaterre, 1788)	Sharpnose Sevengill Shark	Hexanchidae	Heptranchias	perlo
37005002	Notorynchus cepedianus	(Péron, 1807)	Broadnose Shark	Hexanchidae	Notorynchus	cepedianus
37005004	Hexanchus nakamurai	Teng, 1962	Bigeye Sixgill Shark	Hexanchidae	Hexanchus	nakamurai
37005005	Hexanchus griseus	(Bonnaterre, 1788)	Bluntnose Sixgill Shark	Hexanchidae	Hexanchus	griseus
37006001	Chlamydoselachus anguineus	Garman, 1884	Frill Shark	Chlamydoselachidae	Chlamydoselachus	anguineus
37007001	Heterodontus portusjacksoni	(Meyer, 1793)	Port Jackson Shark	Heterodontidae	Heterodontus	portusjacksoni
37007002	Heterodontus zebra	(Gray, 1831)	Zebra Hornshark	Heterodontidae	Heterodontus	zebra
37007003	Heterodontus galeatus	(Günther, 1870)	Crested Hornshark	Heterodontidae	Heterodontus	galeatus
37008001	Carcharias taurus	Rafinesque, 1810	Greynurse Shark	Odontaspididae	Carcharias	taurus
37008003	Odontaspis ferox	(Risso, 1810)	Sandtiger Shark	Odontaspididae	Odontaspis	ferox
37009001	Megachasma pelagios	Taylor, Compagno & Struhsaker, 1983	Megamouth Shark	Megachasmidae	Megachasma	pelagios
37009002	Mitsukurina owstoni	Jordan, 1898	Goblin Shark	Mitsukurinidae	Mitsukurina	owstoni
37009003	Pseudocarcharias kamoharai	(Matsubara, 1936)	Crocodile Shark	Pseudocarchariidae	Pseudocarcharias	kamoharai
37010001	Isurus oxyrinchus	Rafinesque, 1810	Shortfin Mako	Lamnidae	Isurus	oxyrinchus
37010002	Isurus paucus	Guitart Manday, 1966	Longfin Mako	Lamnidae	Isurus	paucus
37010003	Carcharodon carcharias	(Linnaeus, 1758)	White Shark	Lamnidae	Carcharodon	carcharias
37010004	Lamna nasus	(Bonnaterre, 1788)	Porbeagle	Lamnidae	Lamna	nasus
37011001	Cetorhinus maximus	(Gunnerus, 1765)	Basking Shark	Cetorhinidae	Cetorhinus	maximus
37012001	Alopias vulpinus	(Bonnaterre, 1788)	Thresher Shark	Alopiidae	Alopias	vulpinus
37012002	Alopias superciliosus	(Lowe, 1841)	Bigeye Thresher	Alopiidae	Alopias	superciliosus
37012003	Alopias pelagicus	Nakamura, 1935	Pelagic Thresher	Alopiidae	Alopias	pelagicus
37013001	Orectolobus ornatus	(De Vis, 1883)	Banded Wobbegong	Orectolobidae	Orectolobus	ornatus
37013002	Parascyllium collare	Ramsay & Ogilby, 1888	Collar Carpetshark	Parascylliidae	Parascyllium	collare
37013003	Orectolobus maculatus	(Bonnaterre, 1788)	Spotted Wobbegong	Orectolobidae	Orectolobus	maculatus
37013004	Parascyllium variolatum	(Duméril, 1853)	Varied Carpetshark	Parascylliidae	Parascyllium	variolatum
37013005	Parascyllium ferrugineum	McCulloch, 1911	Rusty Carpetshark	Parascylliidae	Parascyllium	ferrugineum
37013006	Stegostoma fasciatum	(Hermann, 1783)	Zebra Shark	Stegostomatidae	Stegostoma	fasciatum
37013007	Brachaelurus waddi	(Bloch & Schneider, 1801)	Blind Shark	Brachaeluridae	Brachaelurus	waddi
37013008	Chiloscyllium punctatum	Müller & Henle, 1838	Grey Carpetshark	Hemiscylliidae	Chiloscyllium	punctatum
37013010	Nebrius ferrugineus	(Lesson, 1830)	Tawny Shark	Ginglymostomatidae	Nebrius	ferrugineus
